authfull,cntry,firstyr,lastyr,academic_age,location
"Santamouris, Mattheos",aus,1982,2020,38,overseas
"Peppas, Nicholas A.",usa,1973,2020,47,overseas
"Terzopoulos, Demetri",usa,1980,2020,40,overseas
"Nicolaides, Kypros H.",gbr,1981,2020,39,overseas
"Ioannidis, John P.A.",usa,1994,2020,26,overseas
"Papadimitriou, Christos H.",usa,1976,2020,44,overseas
"Stamatakis, Alexandros",deu,2001,2020,19,overseas
"Joannopoulos, John",usa,1972,2019,47,overseas
"Alivisatos, A. Paul",usa,1983,2020,37,overseas
"Ntziachristos, Vasilis",deu,1997,2020,23,overseas
"Guibas, Leonidas J.",usa,1975,2020,45,overseas
"Buhalis, Dimitrios",gbr,1993,2020,27,overseas
"Kanatzidis, Mercouri G.",usa,1981,2020,39,overseas
"Giannelis, Emmanuel",usa,1985,2020,35,overseas
"Simopoulos, Artemis P.",usa,1971,2019,48,overseas
"Nicolaou, K. C.",usa,1970,2020,50,overseas
"Stephanopoulos, Gregory",usa,1977,2020,43,overseas
"Bertsekas, Dimitri",usa,1970,2020,50,overseas
"Pavlou, Paul",usa,2002,2020,18,overseas
"Diamantopoulos, Adamantios",aut,1986,2020,34,overseas
"Gazetas, G.",grc,1976,2020,44,domestic
"Antonarakis, Stylianos E.",che,1982,2020,38,overseas
"Pratsinis, Sotiris E.",che,1984,2020,36,overseas
"Chrousos, George P.",grc,1977,2020,43,domestic
"Kalogirou, Soteris A.",cyp,1992,2020,28,overseas
"Avouris, Phaedon",usa,1973,2020,47,overseas
"Yannakakis, Mihalis",usa,1978,2020,42,overseas
"Lyketsos, Constantine G.",usa,1979,2020,41,overseas
"Giannakis, Georgios B.",usa,1986,2020,34,overseas
"Davatzikos, Christos",usa,1992,2020,28,overseas
"Argyropoulos, Dimitris S.",usa,1981,2020,39,overseas
"Karniadakis, George Em",usa,1986,2020,34,overseas
"Triantafillou, T. C.",grc,1987,2020,33,domestic
"Papageorgiou, M.",grc,1978,2020,42,domestic
"Tsallis, Constantino",bra,1970,2020,50,overseas
"Giannoudis, Peter V.",gbr,1995,2020,25,overseas
"Biliaderis, Costas G.",grc,1980,2020,40,domestic
"Christodoulides, Demetrios N.",usa,1984,2020,36,overseas
"Bertsimas, D.",usa,1988,2020,32,overseas
"Loukas, Marios",grd,2001,2020,19,overseas
"Neocleous, Mark",gbr,1996,2019,23,overseas
"Zouboulis, Christos C.",deu,1989,2020,31,overseas
"Tsokos, Michael",deu,1996,2020,24,overseas
"Mavriplis, Dimitri",usa,1985,2020,35,overseas
"Tsitsiklis, John N.",usa,1982,2020,38,overseas
"Vakakis, Alexander F.",usa,1985,2020,35,overseas
"Batsakis, John G.",usa,1955,2009,54,overseas
