authfull,inst_name,cntry,np6019,np,firstyr,lastyr,rank (ns),nc9619 (ns),h19 (ns),hm19 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6019 cited9619 (ns),np cited9619 (ns),self%,rank,nc9619,h19,hm19,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6019 cited9619,np cited9619,np6019_d,np_d,nc9619_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,top percentile,top percentile (ns),is_diaspora,academic_age,percentile_group
"Maniatis, George C.",,,17,17,2003,2018,4594810,11,2,2.0,17,11,17,11,17,11,1.23637080871409,11,1.0,7,7,0.6071,3206403,28,3,3.0,17,28,17,28,17,28,1.62935609082856,20,1.4,11,11,0,0,0,Classics,1.0,,1.83333333333333,Historical Studies,1.0,853.0,1197.0,2286.0,37.3140857392825,52.3622047244094,1,17,other
"Karidas, Johannes",ITK Engineering GmbH,,6,6,2005,2007,6828377,13,2,0.999999999999999,0,0,0,0,2,4,0.680148732646276,13,1.0,4,4,0.0714,7049487,14,2,0.999999999999999,0,0,0,0,2,4,0.681720834354571,14,1.0,5,5,0,0,0,Automobile Design & Engineering,0.5,Industrial Engineering & Automation,0.25,Engineering,0.75,1591.0,1478.0,1958.0,81.2563840653728,75.485188968335,1,15,other
"Potamianou, Anna",,,24,24,1975,2017,4169697,16,2,2.0,23,15,23,15,23,15,1.33463076934035,14,1.14285714285714,9,9,0.5789,2843172,38,3,3.0,23,37,23,37,23,37,1.71915277111467,27,1.4074074074074,15,15,9,9,18,Psychoanalysis,1.0,,0.411764705882352,Psychology & Cognitive Sciences,1.0,1121.0,1616.0,2725.0,41.137614678899,59.3027522935779,1,45,other
"Simoudis, Evangelos",Synapse Partners,,18,18,1985,2020,769448,599,6,3.03333333333333,9,124,12,125,17,599,2.46252595786977,590,1.01525423728813,9,9,0.0148,874556,608,6,3.03333333333333,9,124,12,125,17,608,2.45699403629076,599,1.01502504173622,9,9,0,0,16,Information Systems,0.6,Artificial Intelligence & Image Processing,0.4,Information & Communication Technologies,1.0,2228.0,2068.0,16831.0,13.2374784623611,12.2868516428019,1,35,other
"Sarli, Cathy C.",Program in Audiology and Communication Sciences,,18,18,2003,2019,2077627,223,7,2.93376623376623,1,0,6,82,11,182,1.869488451907,209,1.06698564593301,13,13,0.0935,2294095,246,7,2.73376623376623,1,0,6,88,11,193,1.86882361983092,227,1.08370044052863,14,14,0,0,1,Information & Library Sciences,0.3125,Emergency & Critical Care Medicine,0.1875,Clinical Medicine,0.6875,2475.0,2292.0,10557.0,23.4441602728047,21.7107132708155,1,17,other
"Aloupis, Panos",,,11,11,2010,2018,7320382,1,1,1.0,11,1,11,1,11,1,0.495783276266909,1,1.0,1,1,0.5,7199906,2,1,1.0,11,2,11,2,11,2,0.624715590522858,2,1.0,2,2,7,7,1,Psychoanalysis,1.0,,,Psychology & Cognitive Sciences,1.0,2538.0,2566.0,2725.0,93.137614678899,94.1651376146789,1,10,other
"Bournova, Klio",,,8,8,2003,2019,7757221,0,0,0.0,0,0,5,0,8,0,0.0,0,,0,0,,7791251,0,0,0.0,0,0,5,0,8,0,0.0,0,,0,0,0,0,0,Psychoanalysis,1.0,,1.0,Psychology & Cognitive Sciences,1.0,2687.0,2672.0,2725.0,98.6055045871559,98.0550458715596,1,17,other
"Leontiadis, Ilias",Samsung AI,,43,43,2007,2020,310701,1324,22,7.28293650793651,1,24,12,784,15,821,2.93007224423759,1192,1.11073825503355,40,40,0.0543,350731,1400,23,7.28293650793651,1,24,12,805,15,847,2.93504699700501,1248,1.12179487179487,40,40,0,0,16,Networking & Telecommunications,0.625,Artificial Intelligence & Image Processing,0.15,Information & Communication Technologies,0.85,3614.0,3065.0,162693.0,2.22136170578943,1.88391633321654,1,13,top_5
"Siouris, George M.",Consultant: Avionics and Weapon Systems,,15,15,1972,2009,1280019,160,5,3.33333333333333,11,46,14,147,15,160,2.17190129005604,158,1.0126582278481,6,6,0.0643,1309164,171,6,3.66666666666666,11,46,14,158,15,171,2.22362731323956,169,1.01183431952662,6,6,0,0,3,Aerospace & Aeronautics,1.0,,6.5,Engineering,1.0,3897.0,3435.0,44863.0,8.68644540044134,7.65664355928047,1,48,top_10
"Mouskos, Kyriacos",Transportation System Analyst,,26,26,1987,2019,1944511,225,9,4.51666666666666,0,0,5,40,12,158,1.91247408567115,223,1.00896860986547,23,23,0.1245,2046822,257,10,4.61666666666666,0,0,5,41,12,174,1.94439741388806,253,1.01581027667984,23,23,0,0,3,Logistics & Transportation,0.652173913043478,Artificial Intelligence & Image Processing,0.130434782608695,Economics & Business,0.652173913043478,4383.0,4134.0,21636.0,20.2579034941763,19.1070438158624,1,33,other
"Vagena, Zografoula","RelationalAI, Inc.",,29,29,2001,2020,1919815,498,10,4.275,0,0,7,49,10,60,1.9208513544402,484,1.02892561983471,25,25,0.1263,1902953,570,11,4.8,0,0,7,60,10,75,1.9917667561487,546,1.04395604395604,27,27,0,0,5,Information Systems,0.629629629629629,Artificial Intelligence & Image Processing,0.222222222222222,Information & Communication Technologies,1.0,4588.0,4794.0,16831.0,27.2592240508585,28.4831560810409,1,19,other
"Marinakos, P. A.",,,5,5,1965,1999,7757221,0,0,0.0,4,0,5,0,5,0,0.0,0,,0,0,,7791251,0,0,0.0,4,0,5,0,5,0,0.0,0,,0,0,0,0,0,Applied Ethics,1.0,,4.0,Philosophy & Theology,1.0,4892.0,4877.0,4967.0,98.4900342258908,98.188041071069,1,55,other
"Demetracopoulos, John A.",,,5,5,2002,2007,4849806,9,2,2.0,5,9,5,9,5,9,1.17711272022976,5,1.8,4,4,0.1,4581385,10,3,3.0,5,10,5,10,5,10,1.31458943161963,6,1.66666666666666,4,4,0,0,0,Philosophy,1.0,,4.0,Philosophy & Theology,1.0,4967.0,5084.0,7840.0,63.3545918367346,64.8469387755102,1,18,other
"Economopoulos, M.",CRM,,29,29,1972,1999,3425163,99,4,2.58333333333333,0,0,5,24,22,55,1.50845235135333,78,1.26923076923076,16,16,0.01,3745396,100,4,2.58333333333333,0,0,5,24,22,56,1.50413616758948,79,1.26582278481012,16,16,0,0,0,Mining & Metallurgy,1.0,,28.0,Engineering,1.0,6209.0,5191.0,28089.0,22.1047385097369,18.4805439851899,1,48,other
"Pashos, Alexander",Erster Vorsitzender,,6,6,2000,2018,1370178,134,4,2.83333333333333,4,88,6,134,6,134,2.1312095630207,113,1.1858407079646,5,5,0.0429,1508855,140,4,2.83333333333333,4,91,6,140,6,140,2.13760837585194,116,1.20689655172413,5,5,0,0,0,Social Psychology,0.6,Anthropology,0.2,Psychology & Cognitive Sciences,0.6,5610.0,5266.0,16969.0,33.0602864046201,31.0330602864046,1,20,other
"Papangelis, Alexandros",Uber AI,,33,33,2010,2020,3108104,112,5,2.85,1,1,20,28,21,29,1.58539082605764,109,1.02752293577981,22,22,0.3129,2233790,163,6,3.98333333333333,1,5,20,55,21,56,1.88669207840668,152,1.07236842105263,28,28,0,0,0,Computation Theory & Mathematics,0.333333333333333,Artificial Intelligence & Image Processing,0.303030303030303,Information & Communication Technologies,0.727272727272727,4954.0,5997.0,16762.0,29.5549457105357,35.7773535377639,1,10,other
"Iliopoulos, Georgios",,,5,5,2005,2016,7757221,0,0,0.0,1,0,3,0,5,0,0.0,0,,0,0,,7791251,0,0,0.0,1,0,3,0,5,0,0.0,0,,0,0,0,0,0,Philosophy,1.0,,,Philosophy & Theology,1.0,7554.0,7403.0,7840.0,96.3520408163265,94.4260204081632,1,15,other
"Skokos, E. A.",Yale Claude D. Pepper Older Americans Independence Center,,13,13,2007,2020,2840761,485,10,1.60555555555555,0,0,1,26,1,26,1.65280214312452,445,1.08988764044943,12,12,0.1594,2935546,577,10,1.65909176293791,0,0,1,32,1,32,1.69574462030122,501,1.15169660678642,13,13,0,0,4,Pathology,0.23076923076923,Biomedical Engineering,0.23076923076923,Clinical Medicine,0.384615384615384,7612.0,7764.0,19879.0,38.2916645706524,39.0562905578751,1,13,other
"Galilaiou, Anastasia",,,8,8,2014,2016,7757221,0,0,0.0,6,0,8,0,8,0,0.0,0,,0,0,,7791251,0,0,0.0,6,0,8,0,8,0,0.0,0,,0,0,0,0,0,Law,1.0,,,Social Sciences,1.0,8075.0,8023.0,8246.0,97.9262672811059,97.2956585010914,1,6,other
"Poulos, James",American Scene,,6,6,2006,2014,7757221,0,0,0.0,5,0,5,0,6,0,0.0,0,,0,0,,7791251,0,0,0.0,5,0,5,0,6,0,0.0,0,,0,0,0,0,0,Law,0.333333333333333,Business & Management,0.333333333333333,Economics & Business,0.333333333333333,8075.0,8023.0,8246.0,97.9262672811059,97.2956585010914,1,14,other
"Haloulakos, V. E.",Aerospace Science Consultant,,14,14,1964,2006,3714106,22,2,2.0,12,20,13,22,14,22,1.4402145014462,22,1.0,3,3,0.12,3868785,25,2,2.0,12,23,13,25,14,25,1.47597563642024,24,1.04166666666666,6,6,0,0,0,Applied Mathematics,1.0,,13.0,Mathematics & Statistics,1.0,8991.0,8050.0,16040.0,56.0536159600997,50.1870324189526,1,56,other
"Tziatzi-Papagianni, Maria",,,5,5,1994,2004,7320382,1,1,1.0,5,1,5,1,5,1,0.495783276266909,1,1.0,1,1,0.0,7466616,1,1,1.0,5,1,5,1,5,1,0.493060108628771,1,1.0,1,1,0,0,0,History,1.0,,1.5,Historical Studies,1.0,8779.0,8489.0,9407.0,93.32412033592,90.2413096630169,1,26,other
"Karagiorgou, Sophia",UBITECH,,15,15,2009,2019,1827032,372,8,2.81111111111111,0,0,6,118,7,181,1.95287131525713,303,1.22772277227722,13,13,0.1122,1915071,419,8,3.14444444444444,0,0,6,132,7,197,1.98763357534383,330,1.26969696969696,14,14,0,0,4,Geological & Geomatics Engineering,0.428571428571428,Artificial Intelligence & Image Processing,0.428571428571428,Information & Communication Technologies,0.571428571428571,9435.0,8645.0,44830.0,21.0461744367611,19.2839616328351,1,11,other
"Vardaki, E.",Department of Mechanical Engineering,,8,8,2004,2008,3356095,136,4,2.16666666666666,0,0,3,15,5,109,1.52502414804174,120,1.13333333333333,8,8,0.2688,2976546,186,5,2.66666666666666,0,0,3,33,5,136,1.68549015713491,151,1.23178807947019,8,8,0,0,2,Aerospace & Aeronautics,0.75,Fluids & Plasmas,0.25,Engineering,0.75,10737.0,11666.0,44863.0,23.9328622695762,26.003610993469,1,16,other
"Kotsogiannis, Ios",Snap Inc.,,7,7,2017,2020,5289902,20,3,0.892857142857142,0,0,5,15,5,15,1.07294417933218,20,1.0,5,5,0.5238,4664271,42,4,1.23571428571428,0,0,5,28,5,28,1.29571069378809,36,1.16666666666666,6,6,0,0,1,Information Systems,0.8,Artificial Intelligence & Image Processing,0.2,Information & Communication Technologies,1.0,10814.0,12207.0,16831.0,64.2504901669538,72.5268849147406,1,3,other
"Kalogirou, Maria",IAV GmbH Ingenieurgesellschaft Auto und Verkehr,,13,13,2007,2020,2519040,137,8,2.17424242424242,0,0,4,77,6,83,1.73888176239055,125,1.096,12,12,0.1384,2616866,159,9,2.17424242424242,0,0,4,82,6,96,1.77835520789629,141,1.12765957446808,13,13,0,0,0,Physical Chemistry,0.307692307692307,Energy,0.307692307692307,Chemistry,0.307692307692307,12804.0,12262.0,32362.0,39.5649218218898,37.8901180396761,1,13,other
"Pappa, Keith A.",ViiV Healthcare,,31,31,1990,2020,1451618,1236,15,3.30190298449792,0,0,5,40,11,201,2.09631731738378,1043,1.18504314477468,29,29,0.1423,1559153,1441,15,3.30190298449792,0,0,5,46,11,220,2.11730591916517,1202,1.19883527454242,30,30,0,0,10,Virology,0.481481481481481,Gastroenterology & Hepatology,0.148148148148148,Biomedical Research,0.592592592592592,13716.0,12888.0,58810.0,23.3225641897636,21.9146403672844,1,30,other
"Psaras, Dimitrios",Rhône-Poulenc Inc,,12,12,1984,1997,2689490,236,8,2.20396825396825,0,0,3,13,7,155,1.69263733059907,232,1.01724137931034,10,10,0.0407,2875296,246,9,2.20396825396825,0,0,3,13,7,163,1.71102770743802,241,1.0207468879668,10,10,0,0,2,Physical Chemistry,0.5,Energy,0.5,Chemistry,0.5,14167.0,13194.0,32362.0,43.7766516284531,40.7700389345528,1,36,other
"Doudounakis, Stavros E.",Department of Cystic Fibrosis,,37,37,1995,2020,2505631,676,16,4.25579975579975,0,0,0,0,7,101,1.74263535342882,628,1.0764331210191,30,30,0.1602,2658339,805,17,4.42246642246642,0,0,0,0,7,106,1.76722942063486,720,1.11805555555555,31,31,0,0,0,Pediatrics,0.3,Respiratory System,0.233333333333333,Clinical Medicine,0.633333333333333,14333.0,14152.0,49992.0,28.670587293967,28.3085293646983,1,25,other
"Kassoli-Fournaraki, A.",School of Geology,,39,39,1982,2009,1325240,409,11,4.76904761904761,4,6,8,24,21,223,2.15118189337159,362,1.12983425414364,32,32,0.2523,1353650,547,12,4.76071428571428,4,6,8,26,21,282,2.20365186936719,435,1.25747126436781,33,33,1,1,6,Geochemistry & Geophysics,0.2,Materials,0.2,Enabling & Strategic Technologies,0.3,16865.0,15896.0,72022.0,23.4164560828635,22.0710338507678,1,38,other
"Antonellis, Paul J.",Faculty for Two Colleges,,5,5,2006,2007,7320382,1,1,1.0,3,1,5,1,5,1,0.495783276266909,1,1.0,1,1,0.0,7466616,1,1,1.0,3,1,5,1,5,1,0.493060108628771,1,1.0,1,1,0,0,0,"Strategic, Defence & Security Studies",1.0,,4.0,Enabling & Strategic Technologies,1.0,16464.0,15995.0,17396.0,94.6424465394343,91.9464244653943,1,14,other
"Giorgis, Tadesse",Data Communications,,9,9,1995,1999,7708511,1,1,0.333333333333333,1,0,2,0,3,0,0.238944614390635,1,1.0,1,1,0.0,7756604,1,1,0.333333333333333,1,0,2,0,3,0,0.237070650843055,1,1.0,1,1,0,0,0,Information Systems,0.8,Clinical Psychology,0.2,Information & Communication Technologies,0.8,16707.0,16610.0,16831.0,99.2632642148416,98.6869467054839,1,25,other
"Miltsakaki, Eleni","Choosito, Inc",,13,13,2002,2019,916612,712,8,3.86904761904761,4,29,7,168,8,173,2.36527410235724,670,1.06268656716417,12,12,0.0456,1012866,746,8,3.86904761904761,4,31,7,177,8,182,2.37395133718565,700,1.06571428571428,12,12,0,0,1,Artificial Intelligence & Image Processing,1.0,,0.3,Information & Communication Technologies,1.0,20335.0,17214.0,218092.0,9.32404673257157,7.89299928470553,1,18,top_10
